base_rtt_ms,jitter_fraction,baseline,seed,median_crossover_mbps
600,0.12,full,51,0.18305765360883477
600,0.3,pre_cached,42,0.012681365551917817
600,0.3,pre_cached,43,0.012641239301970399
600,0.3,pre_cached,44,0.012682823252685844
600,0.3,pre_cached,45,0.012675381280501202
600,0.3,pre_cached,46,0.01269813259908128
600,0.3,pre_cached,47,0.012547286538932254
600,0.3,pre_cached,48,0.012659357127376925
600,0.3,pre_cached,49,0.012669301242284417
600,0.3,pre_cached,50,0.012633825590984669
600,0.3,pre_cached,51,0.012673950162026337
600,0.3,full,42,0.16459583068332573
600,0.3,full,43,0.1640750182033714
600,0.3,full,44,0.16461475068589318
600,0.3,full,45,0.16451815875431938
600,0.3,full,46,0.16481345598910832
600,0.3,full,47,0.16285557278844773
600,0.3,full,48,0.1643101757272795
600,0.3,full,49,0.1644392438348826
600,0.3,full,50,0.16397879308367536
600,0.3,full,51,0.16449958377253115
1000,0.0,pre_cached,42,0.009208130493948447
1000,0.0,pre_cached,43,0.009208130493948447
1000,0.0,pre_cached,44,0.009208130493948447
1000,0.0,pre_cached,45,0.009208130493948447
1000,0.0,pre_cached,46,0.009208130493948447
1000,0.0,pre_cached,47,0.009208130493948447
1000,0.0,pre_cached,48,0.009208130493948447
1000,0.0,pre_cached,49,0.009208130493948447
1000,0.0,pre_cached,50,0.009208130493948447
1000,0.0,pre_cached,51,0.009208130493948447
1000,0.0,full,42,0.11951551128204
1000,0.0,full,43,0.11951551128204
1000,0.0,full,44,0.11951551128204
1000,0.0,full,45,0.11951551128204
1000,0.0,full,46,0.11951551128204
1000,0.0,full,47,0.11951551128204
1000,0.0,full,48,0.11951551128204
1000,0.0,full,49,0.11951551128204
1000,0.0,full,50,0.11951551128204
1000,0.0,full,51,0.11951551128204
1000,0.12,pre_cached,42,0.008513780082786786
1000,0.12,pre_cached,43,0.008501701662857547
1000,0.12,pre_cached,44,0.008514218069830121
1000,0.12,pre_cached,45,0.008511981431846737
1000,0.12,pre_cached,46,0.00851881463670693
1000,0.12,pre_cached,47,0.008473254767235278
1000,0.12,pre_cached,48,0.008507160554192306
1000,0.12,pre_cached,49,0.008510153040078437
1000,0.12,pre_cached,50,0.008499465434227842
1000,0.12,pre_cached,51,0.008511551156072186
1000,0.12,full,42,0.11050329708140302
1000,0.12,full,43,0.11034652709054864
1000,0.12,full,44,0.11050898186676238
1000,0.12,full,45,0.11047995176859937
1000,0.12,full,46,0.11056864229846292
1000,0.12,full,47,0.10997730499091435
1000,0.12,full,48,0.11041737992971462
1000,0.12,full,49,0.11045622043929688
1000,0.12,full,50,0.11031750230552867
1000,0.12,full,51,0.11047436707046532
1000,0.3,pre_cached,42,0.007648646663352601
1000,0.3,pre_cached,43,0.0076243186142882155
1000,0.3,pre_cached,44,0.007649530464493879
1000,0.3,pre_cached,45,0.007645018422525561
1000,0.3,pre_cached,46,0.007658812555452361
1000,0.3,pre_cached,47,0.007567359367990657
1000,0.3,pre_cached,48,0.007635303127905066
1000,0.3,pre_cached,49,0.007641332136933876
1000,0.3,pre_cached,50,0.007619823861078678
1000,0.3,pre_cached,51,0.007644150743447056
1000,0.3,full,42,0.09927443113311869
1000,0.3,full,43,0.09895866896789576
1000,0.3,full,44,0.09928590229388698
1000,0.3,full,45,0.0992273389402156
1000,0.3,full,46,0.09940637776362521
1000,0.3,full,47,0.09821937520484948
1000,0.3,full,48,0.09910124077027901
1000,0.3,full,49,0.09917949336423126
1000,0.3,full,50,0.0989003300110057
1000,0.3,full,51,0.09921607703327755
